Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Alarm,Alarm signalers with light/sound/vibration,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Audioplayers,Audio-players with DAISY capability,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Bars,Grab-bars / Hand rails,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Braille_displays,Braille displays (note takers),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Braille_writing,Braille writing equipment/braillers,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Canes_sticks,"Canes/sticks, tripod and quadripod",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Chairs,Chairs for shower/bath/toilet,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Closed_captioning,Closed captioning displays,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Clubfoot,Club foot braces,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Comm_boards,Communication boards/books/cards,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Comm_software,Communication software,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Crutches,Axillary / Elbow crutches,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Cushions,Pressure relief cushions,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Deafblind_hearing,Deafblind communicators (for hearing),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Deafblind_vision,Deafblind communicators (for seeing/vision),,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Fall_detectors,Fall detectors,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Gesture2voice,Gesture to voice technology,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_GPSlocators,Global Positioning System (GPS) locators,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Hearingaids,Hearing aids (digital) and batteries,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Hearingloops,Hearing loops/FM systems,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Incontinence,"Incontinence products, absorbent",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Keyboard_mouse,Keyboard and mouse emulation software,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Magnifiers_digital,"Magnifiers, digital handheld",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Magnifiers_optical,"Magnifiers, optical",,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Manual_wheelchair_basic,Manual wheelchairs - basic type for active users,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Manual_wheelchair_push,Manual wheelchairs - push type,,,
ASSISTIVETECHPRODUCT,ASSISTIVETECH_Mattresses,Pressure relief mattresses,,,
