Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28398462,ASSISTIVETECH_TOTALNEED,COUNTRY,ITA,YEAR,2021,SEX,MLE,ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL,,,,,50.7,50.67636,,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),2022-04-29T07:55:45Z,2021,2021-01-01,2021-12-31
28398463,ASSISTIVETECH_TOTALNEED,COUNTRY,ITA,YEAR,2021,SEX,FMLE,ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL,,,,,54.5,54.47575,,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),2022-04-29T07:55:45Z,2021,2021-01-01,2021-12-31
28398464,ASSISTIVETECH_TOTALNEED,COUNTRY,ITA,YEAR,2021,RESIDENCEAREATYPE,URB,ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL,,,,,53.1,53.13632,,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),2022-04-29T07:55:45Z,2021,2021-01-01,2021-12-31
28398465,ASSISTIVETECH_TOTALNEED,COUNTRY,ITA,YEAR,2021,RESIDENCEAREATYPE,RUR,ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL,,,,,49.9,49.90607,,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),2022-04-29T07:55:45Z,2021,2021-01-01,2021-12-31
28398466,ASSISTIVETECH_TOTALNEED,COUNTRY,ITA,YEAR,2021,AGEGROUP,YEARS00-04,ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL,,,,,22.1,22.07084,,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),2022-04-29T07:55:45Z,2021,2021-01-01,2021-12-31
28398467,ASSISTIVETECH_TOTALNEED,COUNTRY,ITA,YEAR,2021,AGEGROUP,YEARS05-17,ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL,,,,,29.9,29.86907,,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),2022-04-29T07:55:45Z,2021,2021-01-01,2021-12-31
28398468,ASSISTIVETECH_TOTALNEED,COUNTRY,ITA,YEAR,2021,AGEGROUP,YEARS18-29,ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL,,,,,47.1,47.12739,,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),2022-04-29T07:55:45Z,2021,2021-01-01,2021-12-31
28398469,ASSISTIVETECH_TOTALNEED,COUNTRY,ITA,YEAR,2021,AGEGROUP,YEARS30-39,ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL,,,,,41.2,41.20562,,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),2022-04-29T07:55:45Z,2021,2021-01-01,2021-12-31
28398470,ASSISTIVETECH_TOTALNEED,COUNTRY,ITA,YEAR,2021,AGEGROUP,YEARS40-49,ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL,,,,,46.8,46.8386,,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),2022-04-29T07:55:45Z,2021,2021-01-01,2021-12-31
28398471,ASSISTIVETECH_TOTALNEED,COUNTRY,ITA,YEAR,2021,AGEGROUP,YEARS50-59,ASSISTIVETECHPRODUCT,ASSISTIVETECH_TOTAL,,,,,62.9,62.88724,,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),2022-04-29T07:55:45Z,2021,2021-01-01,2021-12-31
